time;lat;lon;pr;tmax;tmin;ih
05-2000;-37,225;-71,975;61,300;15,989;4,595;3
05-2000;-37,225;-71,925;62,490;15,689;4,402;3
05-2000;-37,225;-71,875;64,730;14,818;4,140;3
05-2000;-37,225;-71,825;72,850;14,402;3,752;3
05-2000;-37,225;-71,775;81,150;13,585;3,649;2
05-2000;-37,225;-71,725;86,610;13,265;3,316;2
05-2000;-37,225;-71,675;91,830;12,471;2,685;2
05-2000;-37,225;-71,625;102,200;11,654;1,735;2
05-2000;-37,225;-71,575;100,400;11,335;1,221;2
05-2000;-37,225;-71,525;94,100;11,077;,816;2
05-2000;-37,225;-71,475;80,580;11,789;1,314;2
05-2000;-37,225;-71,425;71,170;11,880;1,415;2
05-2000;-37,225;-71,375;89,940;9,769;-1,016;1
05-2000;-37,225;-71,325;66,060;10,681;-,081;1
05-2000;-37,225;-71,275;70,630;10,363;-,500;1
05-2000;-37,225;-71,225;71,100;10,169;-1,088;1
05-2000;-37,225;-71,175;76,000;9,908;-1,457;1
05-2000;-37,225;-71,125;76,130;10,178;-1,302;1
05-2000;-37,225;-71,075;80,790;9,794;-1,745;1
05-2000;-37,225;-71,025;86,520;9,589;-2,636;1
05-2000;-37,225;-70,975;74,160;8,630;-3,294;1
05-2000;-37,175;-72,925;68,790;15,711;6,216;3
05-2000;-37,175;-72,875;64,890;15,564;5,733;3
05-2000;-37,175;-72,825;64,340;15,556;5,341;3
05-2000;-37,175;-72,775;62,740;15,762;5,098;3
05-2000;-37,175;-72,725;60,170;15,805;5,023;3
05-2000;-37,175;-72,675;60,170;15,904;4,834;3
05-2000;-37,175;-72,625;58,260;16,054;4,688;3
05-2000;-37,175;-72,575;57,370;16,080;4,856;3
05-2000;-37,175;-72,525;59,440;15,974;4,591;3
05-2000;-37,175;-72,475;60,150;16,031;4,635;3
05-2000;-37,175;-72,425;61,620;16,203;4,450;3
05-2000;-37,175;-72,375;63,500;16,119;4,343;3
05-2000;-37,175;-72,325;65,830;15,921;4,436;3
05-2000;-37,175;-72,275;68,480;16,034;4,411;3
05-2000;-37,175;-72,225;68,380;16,012;4,438;3
05-2000;-37,175;-72,175;65,950;15,967;4,429;3
05-2000;-37,175;-72,125;64,230;15,794;4,422;3
05-2000;-37,175;-72,075;63,840;16,053;4,522;3
05-2000;-37,175;-72,025;62,960;16,053;4,710;3
05-2000;-37,175;-71,975;60,900;15,929;4,559;3
05-2000;-37,175;-71,925;63,810;15,389;4,223;3
05-2000;-37,175;-71,875;67,060;14,539;4,126;3
05-2000;-37,175;-71,825;71,600;14,092;4,019;3
05-2000;-37,175;-71,775;82,800;13,401;3,451;2
05-2000;-37,175;-71,725;93,640;12,806;3,006;2
05-2000;-37,175;-71,675;87,920;13,168;3,360;2
05-2000;-37,175;-71,625;104,420;11,589;1,690;2
05-2000;-37,175;-71,575;105,010;10,945;,839;2
05-2000;-37,175;-71,525;101,850;10,674;,326;1
05-2000;-37,175;-71,475;82,100;11,892;1,303;2
05-2000;-37,175;-71,425;75,940;11,855;1,209;2
05-2000;-37,175;-71,375;89,180;9,833;-1,218;1
05-2000;-37,175;-71,325;74,710;10,581;-,941;1
05-2000;-37,175;-71,275;74,640;10,492;-1,085;1
05-2000;-37,175;-71,225;75,500;10,152;-1,400;1
05-2000;-37,175;-71,175;83,050;9,703;-1,405;1
05-2000;-37,175;-71,125;93,170;9,036;-1,804;1
05-2000;-37,175;-71,075;87,010;8,488;-2,404;1
05-2000;-37,175;-71,025;72,580;8,387;-2,561;1
05-2000;-37,175;-70,975;76,580;9,262;-1,937;1
05-2000;-37,125;-72,925;64,260;15,607;6,123;3
05-2000;-37,125;-72,875;66,100;15,414;5,513;3
05-2000;-37,125;-72,825;69,260;15,369;5,105;3
05-2000;-37,125;-72,775;64,240;15,771;4,984;3
