time;lat;lon;pr;tmax;tmin;ih
05-2000;-36,225;-71,125;114,240;9,581;-1,013;1
05-2000;-36,225;-71,075;111,900;9,760;-1,082;1
05-2000;-36,225;-71,025;110,890;9,860;-1,200;1
05-2000;-36,225;-70,975;101,840;10,949;-,897;1
05-2000;-36,175;-72,925;48,970;-9999,0;-9999,0;0
05-2000;-36,175;-72,875;51,620;15,446;8,599;4
05-2000;-36,175;-72,825;49,500;15,492;7,932;3
05-2000;-36,175;-72,775;54,110;15,243;7,339;3
05-2000;-36,175;-72,725;61,710;14,480;6,725;3
05-2000;-36,175;-72,675;66,390;14,561;6,056;3
05-2000;-36,175;-72,625;62,570;15,242;5,679;3
05-2000;-36,175;-72,575;58,400;15,899;5,209;3
05-2000;-36,175;-72,525;56,500;16,062;4,838;3
05-2000;-36,175;-72,475;58,340;15,937;4,484;3
05-2000;-36,175;-72,425;57,550;15,784;4,394;3
05-2000;-36,175;-72,375;59,030;15,903;4,176;3
05-2000;-36,175;-72,325;59,730;16,062;4,093;3
05-2000;-36,175;-72,275;59,400;16,316;3,956;3
05-2000;-36,175;-72,225;57,470;16,446;3,770;3
05-2000;-36,175;-72,175;59,720;16,422;3,933;3
05-2000;-36,175;-72,125;57,080;16,818;3,733;3
05-2000;-36,175;-72,075;53,960;16,984;3,798;3
05-2000;-36,175;-72,025;50,530;17,225;3,880;3
05-2000;-36,175;-71,975;50,660;17,067;3,835;3
05-2000;-36,175;-71,925;53,460;16,998;3,913;3
05-2000;-36,175;-71,875;54,240;16,983;3,879;3
05-2000;-36,175;-71,825;56,280;16,928;3,849;3
05-2000;-36,175;-71,775;58,170;16,925;3,811;3
05-2000;-36,175;-71,725;60,460;16,851;3,757;3
05-2000;-36,175;-71,675;62,820;16,598;3,662;3
05-2000;-36,175;-71,625;66,140;16,002;3,630;3
05-2000;-36,175;-71,575;67,890;15,612;4,044;3
05-2000;-36,175;-71,525;68,420;15,411;4,083;3
05-2000;-36,175;-71,475;81,150;14,711;3,841;3
05-2000;-36,175;-71,425;89,810;14,531;3,390;3
05-2000;-36,175;-71,375;95,530;14,572;3,364;3
05-2000;-36,175;-71,325;97,300;14,282;2,952;2
05-2000;-36,175;-71,275;105,010;12,797;1,388;2
05-2000;-36,175;-71,225;111,150;11,741;,871;2
05-2000;-36,175;-71,175;123,030;10,405;-,596;1
05-2000;-36,175;-71,125;113,540;11,215;-,278;1
05-2000;-36,175;-71,075;114,350;10,009;-,863;1
05-2000;-36,175;-71,025;126,180;9,368;-1,459;1
05-2000;-36,175;-70,975;101,610;10,340;-1,177;1
05-2000;-36,125;-72,925;51,180;-9999,0;-9999,0;0
05-2000;-36,125;-72,875;52,380;15,336;8,977;4
05-2000;-36,125;-72,825;49,770;15,701;8,311;4
05-2000;-36,125;-72,775;53,890;15,227;7,722;3
05-2000;-36,125;-72,725;61,640;14,910;7,188;3
05-2000;-36,125;-72,675;63,540;14,870;6,607;3
05-2000;-36,125;-72,625;64,240;15,113;6,052;3
05-2000;-36,125;-72,575;62,020;15,518;5,712;3
05-2000;-36,125;-72,525;61,240;15,891;5,221;3
05-2000;-36,125;-72,475;56,080;16,360;4,978;3
05-2000;-36,125;-72,425;58,220;16,077;4,681;3
05-2000;-36,125;-72,375;57,460;16,275;4,399;3
05-2000;-36,125;-72,325;55,770;16,728;4,025;3
05-2000;-36,125;-72,275;55,090;16,824;3,735;3
05-2000;-36,125;-72,225;55,110;16,827;3,516;3
05-2000;-36,125;-72,175;53,800;16,934;3,635;3
05-2000;-36,125;-72,125;53,510;17,065;3,684;3
05-2000;-36,125;-72,075;52,590;17,210;3,681;3
05-2000;-36,125;-72,025;52,280;17,176;3,746;3
05-2000;-36,125;-71,975;52,370;17,170;3,780;3
05-2000;-36,125;-71,925;52,650;17,113;3,834;3
05-2000;-36,125;-71,875;53,150;17,179;3,897;3
05-2000;-36,125;-71,825;54,820;16,919;3,913;3
05-2000;-36,125;-71,775;56,770;16,822;3,827;3
05-2000;-36,125;-71,725;58,810;16,651;3,803;3
05-2000;-36,125;-71,675;60,580;16,538;3,719;3
05-2000;-36,125;-71,625;62,580;16,402;3,680;3
05-2000;-36,125;-71,575;64,100;16,159;3,812;3
05-2000;-36,125;-71,525;62,150;15,831;4,391;3
05-2000;-36,125;-71,475;75,270;15,213;3,893;3
05-2000;-36,125;-71,425;86,970;14,635;3,585;3
05-2000;-36,125;-71,375;87,270;14,833;3,711;3
05-2000;-36,125;-71,325;88,580;14,300;3,511;3
05-2000;-36,125;-71,275;92,700;13,985;2,919;2
05-2000;-36,125;-71,225;93,430;14,099;1,910;2
05-2000;-36,125;-71,175;109,520;12,724;1,262;2
05-2000;-36,125;-71,125;101,520;13,596;,945;2
05-2000;-36,125;-71,075;119,980;10,830;-,577;1
05-2000;-36,125;-71,025;130,550;9,033;-1,470;1
05-2000;-36,125;-70,975;105,910;10,697;-,734;1
05-2000;-36,075;-72,925;50,400;-9999,0;-9999,0;0
05-2000;-36,075;-72,875;51,770;15,374;9,168;4
05-2000;-36,075;-72,825;50,300;15,632;8,670;4
05-2000;-36,075;-72,775;53,300;15,393;8,160;3
05-2000;-36,075;-72,725;57,980;14,943;7,646;3
05-2000;-36,075;-72,675;65,490;14,592;7,150;3
05-2000;-36,075;-72,625;72,390;14,435;6,510;3
05-2000;-36,075;-72,575;72,190;14,410;6,127;3
05-2000;-36,075;-72,525;65,720;15,514;5,542;3
05-2000;-36,075;-72,475;56,100;16,637;5,209;3
05-2000;-36,075;-72,425;53,580;16,843;4,912;3
05-2000;-36,075;-72,375;53,490;16,850;4,513;3
05-2000;-36,075;-72,325;53,880;16,860;4,103;3
05-2000;-36,075;-72,275;52,800;16,918;3,762;3
05-2000;-36,075;-72,225;53,670;16,437;3,884;3
05-2000;-36,075;-72,175;59,560;16,309;3,566;3
05-2000;-36,075;-72,125;54,030;16,824;3,746;3
05-2000;-36,075;-72,075;51,500;17,194;3,609;3
05-2000;-36,075;-72,025;50,960;17,277;3,624;3
05-2000;-36,075;-71,975;51,030;17,242;3,685;3
05-2000;-36,075;-71,925;51,670;17,153;3,668;3
05-2000;-36,075;-71,875;52,170;17,101;3,748;3
05-2000;-36,075;-71,825;53,570;17,073;3,804;3
05-2000;-36,075;-71,775;55,820;16,774;3,897;3
05-2000;-36,075;-71,725;57,320;16,703;3,907;3
05-2000;-36,075;-71,675;58,030;16,606;3,772;3
05-2000;-36,075;-71,625;59,010;16,620;3,739;3
05-2000;-36,075;-71,575;59,390;16,481;3,885;3
05-2000;-36,075;-71,525;56,060;16,127;4,419;3
05-2000;-36,075;-71,475;66,660;15,468;4,258;3
05-2000;-36,075;-71,425;78,380;14,792;3,911;3
05-2000;-36,075;-71,375;81,110;14,871;3,743;3
05-2000;-36,075;-71,325;86,080;14,421;3,709;3
05-2000;-36,075;-71,275;103,830;12,496;2,618;2
05-2000;-36,075;-71,225;104,880;12,123;1,613;2
05-2000;-36,075;-71,175;107,750;12,242;1,161;2
05-2000;-36,075;-71,125;111,700;12,101;,150;2
05-2000;-36,075;-71,075;126,390;10,423;-,483;1
05-2000;-36,075;-71,025;125,910;9,865;-1,294;1
05-2000;-36,075;-70,975;102,800;10,215;-,841;1
05-2000;-36,025;-72,925;49,340;-9999,0;-9999,0;0
05-2000;-36,025;-72,875;50,980;15,412;9,359;4
05-2000;-36,025;-72,825;50,070;15,647;9,037;4
05-2000;-36,025;-72,775;50,920;15,530;8,657;4
05-2000;-36,025;-72,725;63,280;14,523;7,877;3
05-2000;-36,025;-72,675;70,230;14,309;7,319;3
05-2000;-36,025;-72,625;70,810;14,685;6,861;3
05-2000;-36,025;-72,575;72,030;14,481;6,409;3
05-2000;-36,025;-72,525;75,600;14,518;6,021;3
05-2000;-36,025;-72,475;57,650;16,139;5,564;3
05-2000;-36,025;-72,425;54,240;16,564;5,054;3
05-2000;-36,025;-72,375;51,690;16,813;4,562;3
05-2000;-36,025;-72,325;51,790;16,949;4,103;3
05-2000;-36,025;-72,275;51,890;16,863;3,700;3
05-2000;-36,025;-72,225;53,490;16,803;3,618;3
05-2000;-36,025;-72,175;53,060;16,971;3,582;3
05-2000;-36,025;-72,125;50,770;17,174;3,564;3
05-2000;-36,025;-72,075;50,120;17,363;3,632;3
05-2000;-36,025;-72,025;49,520;17,645;3,549;3
05-2000;-36,025;-71,975;50,030;17,493;3,537;3
05-2000;-36,025;-71,925;50,740;17,302;3,633;3
05-2000;-36,025;-71,875;51,060;17,252;3,633;3
05-2000;-36,025;-71,825;52,680;17,273;3,717;3
05-2000;-36,025;-71,775;54,430;17,163;3,807;3
05-2000;-36,025;-71,725;55,390;16,931;3,810;3
05-2000;-36,025;-71,675;55,290;16,699;3,784;3
05-2000;-36,025;-71,625;55,610;16,432;3,904;3
05-2000;-36,025;-71,575;53,980;15,989;4,591;3
05-2000;-36,025;-71,525;56,670;15,798;4,607;3
05-2000;-36,025;-71,475;68,090;14,999;4,350;3
05-2000;-36,025;-71,425;70,920;15,217;4,302;3
05-2000;-36,025;-71,375;80,130;14,494;4,143;3
05-2000;-36,025;-71,325;87,630;13,527;3,452;2
05-2000;-36,025;-71,275;91,880;13,012;3,109;2
05-2000;-36,025;-71,225;113,480;10,929;1,533;2
05-2000;-36,025;-71,175;125,330;8,813;-,146;1
05-2000;-36,025;-71,125;142,140;8,314;-,560;1
05-2000;-36,025;-71,075;121,030;10,102;-,702;1
05-2000;-36,025;-71,025;119,100;9,631;-1,119;1
05-2000;-36,025;-70,975;84,200;12,769;-,008;2
